n : 1.0
freq : 83.33 MHz
SWR : 9.207
 Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
120  45    -9.272     0.118238      -3364.836
125  45    -9.610     0.109400      -3361.438
130  45    -9.665     0.108009      -3362.300
135  45   -10.795     0.083276      -3360.630
140  45   -10.932     0.080692      -3358.851
145  45   -11.472     0.071256      -3359.205
150  45   -13.900     0.040735      -3001.397
155  45   -13.950     0.040274      -3001.117
160  45   -14.780     0.033265      -3002.423
165  45   -16.851     0.020650      -3362.547
170  45   -19.245     0.011900      -3004.559
175  45   -21.426     0.007200      -3007.170
180  45   -22.711     0.005356      -3008.948
  0  50   -23.663     0.004302      -3358.162
  5  50   -21.520     0.007047      -3361.127
 10  50   -19.370     0.011562      -3364.259
 15  50   -17.125     0.019386      -3365.322
 20  50   -14.685     0.033999      -3365.429
 25  50   -13.841     0.041291      -3364.843
 30  50   -13.605     0.043601      -3364.745
 35  50   -11.786     0.066282      -3364.395
 40  50   -10.535     0.088400      -3363.269
 45  50   -11.094     0.077724      -3363.818
 50  50   -10.456     0.090031      -3361.596
 55  50    -9.390     0.115079      -3360.211
 60  50    -9.508     0.111988      -3361.060
 65  50    -8.881     0.129383      -3363.670
 70  50   -10.057     0.098705      -3363.217
 75  50   -10.105     0.097620      -3362.540
 80  50   -10.262     0.094149      -3363.050
 85  50   -11.472     0.071253      -3361.426
 90  50   -11.750     0.066827      -3363.795
 95  50   -11.597     0.069239      -3365.985
100  50   -10.617     0.086747      -3364.543
105  50    -9.870     0.103040      -3362.238
110  50    -9.809     0.104492      -3363.590
115  50    -9.183     0.120700      -3365.170
120  50    -9.272     0.118238      -3364.836
125  50    -9.610     0.109400      -3361.438
130  50    -9.665     0.108009      -3362.300
135  50   -10.795     0.083276      -3360.630
140  50   -10.932     0.080692      -3358.851
145  50   -11.472     0.071256      -3359.205
150  50   -13.900     0.040735      -3001.397
155  50   -13.950     0.040274      -3001.117
160  50   -14.780     0.033265      -3002.423
165  50   -16.851     0.020650      -3362.547
170  50   -19.245     0.011900      -3004.559
175  50   -21.426     0.007200      -3007.170
180  50   -22.711     0.005356      -3008.948
  0  55   -23.663     0.004302      -3358.162
  5  55   -21.520     0.007047      -3361.127
 10  55   -19.370     0.011562      -3364.259
 15  55   -17.125     0.019386      -3365.322
 20  55   -14.685     0.033999      -3365.429
 25  55   -13.841     0.041291      -3364.843
 30  55   -13.605     0.043601      -3364.745
 35  55   -11.786     0.066282      -3364.395
 40  55   -10.535     0.088400      -3363.269
 45  55   -11.094     0.077724      -3363.818
 50  55   -10.456     0.090031      -3361.596
 55  55    -9.390     0.115079      -3360.211
 60  55    -9.508     0.111988      -3361.060
 65  55    -8.881     0.129383      -3363.670
 70  55   -10.057     0.098705      -3363.217
 75  55   -10.105     0.097620      -3362.540
 80  55   -10.262     0.094149      -3363.050
 85  55   -11.472     0.071253      -3361.426
 90  55   -11.750     0.066827      -3363.795
 95  55   -11.597     0.069239      -3365.985
100  55   -10.617     0.086747      -3364.543
105  55    -9.870     0.103040      -3362.238
110  55    -9.809     0.104492      -3363.590
115  55    -9.183     0.120700      -3365.170
120  55    -9.272     0.118238      -3364.836
125  55    -9.610     0.109400      -3361.438
130  55    -9.665     0.108009      -3362.300
135  55   -10.795     0.083276      -3360.630
140  55   -10.932     0.080692      -3358.851
145  55   -11.472     0.071256      -3359.205
150  55   -13.900     0.040735      -3001.397
155  55   -13.950     0.040274      -3001.117
160  55   -14.780     0.033265      -3002.423
165  55   -16.851     0.020650      -3362.547
170  55   -19.245     0.011900      -3004.559
175  55   -21.426     0.007200      -3007.170
180  55   -22.711     0.005356      -3008.948
  0  60   -23.663     0.004302      -3358.162
  5  60   -21.520     0.007047      -3361.127
 10  60   -19.370     0.011562      -3364.259
 15  60   -17.125     0.019386      -3365.322
 20  60   -14.685     0.033999      -3365.429
 25  60   -13.841     0.041291      -3364.843
 30  60   -13.605     0.043601      -3364.745
 35  60   -11.786     0.066282      -3364.395
 40  60   -10.535     0.088400      -3363.269
 45  60   -11.094     0.077724      -3363.818
 50  60   -10.456     0.090031      -3361.596
 55  60    -9.390     0.115079      -3360.211
 60  60    -9.508     0.111988      -3361.060
 65  60    -8.881     0.129383      -3363.670
 70  60   -10.057     0.098705      -3363.217
 75  60   -10.105     0.097620      -3362.540
 80  60   -10.262     0.094149      -3363.050
 85  60   -11.472     0.071253      -3361.426
 90  60   -11.750     0.066827      -3363.795
 95  60   -11.597     0.069239      -3365.985
100  60   -10.617     0.086747      -3364.543
105  60    -9.870     0.103040      -3362.238
110  60    -9.809     0.104492      -3363.590
115  60    -9.183     0.120700      -3365.170
120  60    -9.272     0.118238      -3364.836
125  60    -9.610     0.109400      -3361.438
130  60    -9.665     0.108009      -3362.300
135  60   -10.795     0.083276      -3360.630
140  60   -10.932     0.080692      -3358.851
145  60   -11.472     0.071256      -3359.205
150  60   -13.900     0.040735      -3001.397
155  60   -13.950     0.040274      -3001.117
160  60   -14.780     0.033265      -3002.423
165  60   -16.851     0.020650      -3362.547
170  60   -19.245     0.011900      -3004.559
175  60   -21.426     0.007200      -3007.170
180  60   -22.711     0.005356      -3008.948
  0  65   -23.663     0.004302      -3358.162
  5  65   -21.520     0.007047      -3361.127
 10  65   -19.370     0.011562      -3364.259
 15  65   -17.125     0.019386      -3365.322
 20  65   -14.685     0.033999      -3365.429
 25  65   -13.841     0.041291      -3364.843
 30  65   -13.605     0.043601      -3364.745
 35  65   -11.786     0.066282      -3364.395
 40  65   -10.535     0.088400      -3363.269
 45  65   -11.094     0.077724      -3363.818
 50  65   -10.456     0.090031      -3361.596
 55  65    -9.390     0.115079      -3360.211
 60  65    -9.508     0.111988      -3361.060
 65  65    -8.881     0.129383      -3363.670
 70  65   -10.057     0.098705      -3363.217
 75  65   -10.105     0.097620      -3362.540
 80  65   -10.262     0.094149      -3363.050
 85  65   -11.472     0.071253      -3361.426
 90  65   -11.750     0.066827      -3363.795
 95  65   -11.597     0.069239      -3365.985
100  65   -10.617     0.086747      -3364.543
105  65    -9.870     0.103040      -3362.238
110  65    -9.809     0.104492      -3363.590
115  65    -9.183     0.120700      -3365.170
120  65    -9.272     0.118238      -3364.836
125  65    -9.610     0.109400      -3361.438
130  65    -9.665     0.108009      -3362.300
135  65   -10.795     0.083276      -3360.630
140  65   -10.932     0.080692      -3358.851
145  65   -11.472     0.071256      -3359.205
150  65   -13.900     0.040735      -3001.397
155  65   -13.950     0.040274      -3001.117
160  65   -14.780     0.033265      -3002.423
165  65   -16.851     0.020650      -3362.547
170  65   -19.245     0.011900      -3004.559
175  65   -21.426     0.007200      -3007.170
180  65   -22.711     0.005356      -3008.948
  0  70   -23.663     0.004302      -3358.162
