n : 1.0
freq : 83.33 MHz
SWR : 24.444
 Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
 95  60   -12.657     0.054242      -3409.308
100  60   -13.120     0.048749      -3769.791
105  60   -13.374     0.045983      -3770.802
110  60   -13.392     0.045798      -3772.312
115  60   -14.050     0.039358      -3772.234
120  60   -13.566     0.043998      -3771.421
125  60   -15.157     0.030497      -3770.640
130  60   -16.560     0.022080      -3770.816
135  60   -16.226     0.023848      -3769.694
140  60   -16.203     0.023973      -3407.201
145  60   -17.605     0.017358      -3408.219
150  60   -18.432     0.014350      -3407.700
155  60   -19.602     0.010960      -3768.228
160  60   -21.554     0.006992      -3769.930
165  60   -23.873     0.004100      -3771.675
170  60   -28.102     0.001548      -3774.024
175  60   -31.875     0.000649      -3413.588
180  60   -28.635     0.001369      -3415.233
  0  65   -28.302     0.001479      -3770.859
  5  65   -28.410     0.001442      -3770.873
 10  65   -27.483     0.001785      -3409.606
 15  65   -25.535     0.002796      -3768.498
 20  65   -23.115     0.004880      -3409.256
 25  65   -20.204     0.009540      -3769.696
 30  65   -18.679     0.013554      -3409.038
 35  65   -17.935     0.016089      -3408.364
 40  65   -16.706     0.021351      -3410.216
 45  65   -17.368     0.018330      -3407.830
 50  65   -16.307     0.023407      -3408.454
 55  65   -16.275     0.023579      -3408.951
 60  65   -14.503     0.035460      -3411.378
 65  65   -13.752     0.042153      -3052.213
 70  65   -13.639     0.043263      -3413.367
 75  65   -13.219     0.047657      -3412.018
 80  65   -13.625     0.043400      -3412.200
 85  65   -12.646     0.054375      -3410.851
 90  65   -12.034     0.062602      -3409.533
 95  65   -12.657     0.054242      -3409.308
100  65   -13.120     0.048749      -3769.791
105  65   -13.374     0.045983      -3770.802
110  65   -13.392     0.045798      -3772.312
115  65   -14.050     0.039358      -3772.234
120  65   -13.566     0.043998      -3771.421
125  65   -15.157     0.030497      -3770.640
130  65   -16.560     0.022080      -3770.816
135  65   -16.226     0.023848      -3769.694
140  65   -16.203     0.023973      -3407.201
145  65   -17.605     0.017358      -3408.219
150  65   -18.432     0.014350      -3407.700
155  65   -19.602     0.010960      -3768.228
160  65   -21.554     0.006992      -3769.930
165  65   -23.873     0.004100      -3771.675
170  65   -28.102     0.001548      -3774.024
175  65   -31.875     0.000649      -3413.588
