n : 1.0
freq : 83.33 MHz
SWR : 7.037
 Theta   Phi 	 Gain(dB)   	   Gain   	   Phase(deg)
 50  55   -22.080     0.006194      -3290.323
 55  55   -20.756     0.008403      -3292.228
 60  55   -18.813     0.013144      -3292.522
 65  55   -17.046     0.019743      -3292.148
 70  55   -15.753     0.026587      -3291.024
 75  55   -14.470     0.035726      -3293.342
 80  55   -13.332     0.046435      -3290.837
 85  55   -12.424     0.057232      -3292.729
 90  55   -11.489     0.070969      -3291.456
 95  55   -12.267     0.059331      -3291.253
100  55   -12.903     0.051257      -3293.462
105  55   -14.463     0.035785      -3293.614
110  55   -15.796     0.026327      -3296.774
115  55   -16.706     0.021350      -3294.658
120  55   -18.677     0.013562      -3296.730
125  55   -19.926     0.010171      -3297.058
130  55   -22.512     0.005608      -3296.115
135  55   -23.296     0.004682      -3295.435
140  55   -24.048     0.003937      -3295.183
145  55   -25.999     0.002512      -3295.348
150  55   -25.764     0.002652      -3295.036
155  55   -26.218     0.002389      -3295.518
160  55   -27.732     0.001686      -3295.935
165  55   -23.835     0.004135      -3296.506
170  55   -22.659     0.005421      -3296.502
175  55   -21.459     0.007146      -3297.619
180  55   -21.864     0.006510      -3295.629
  0  60   -22.918     0.005108      -3278.156
  5  60   -22.391     0.005766      -3280.107
 10  60   -22.900     0.005128      -3279.013
 15  60   -23.627     0.004338      -3279.437
 20  60   -27.158     0.001924      -3277.940
 25  60   -25.293     0.002956      -3280.579
 30  60   -24.760     0.003342      -3282.790
 35  60   -25.105     0.003087      -3285.018
 40  60   -24.056     0.003930      -3286.737
 45  60   -22.439     0.005702      -3288.296
 50  60   -22.080     0.006194      -3290.323
 55  60   -20.756     0.008403      -3292.228
 60  60   -18.813     0.013144      -3292.522
 65  60   -17.046     0.019743      -3292.148
 70  60   -15.753     0.026587      -3291.024
 75  60   -14.470     0.035726      -3293.342
 80  60   -13.332     0.046435      -3290.837
 85  60   -12.424     0.057232      -3292.729
 90  60   -11.489     0.070969      -3291.456
 95  60   -12.267     0.059331      -3291.253
100  60   -12.903     0.051257      -3293.462
105  60   -14.463     0.035785      -3293.614
110  60   -15.796     0.026327      -3296.774
115  60   -16.706     0.021350      -3294.658
120  60   -18.677     0.013562      -3296.730
125  60   -19.926     0.010171      -3297.058
130  60   -22.512     0.005608      -3296.115
135  60   -23.296     0.004682      -3295.435
140  60   -24.048     0.003937      -3295.183
145  60   -25.999     0.002512      -3295.348
150  60   -25.764     0.002652      -3295.036
155  60   -26.218     0.002389      -3295.518
160  60   -27.732     0.001686      -3295.935
165  60   -23.835     0.004135      -3296.506
170  60   -22.659     0.005421      -3296.502
175  60   -21.459     0.007146      -3297.619
180  60   -21.864     0.006510      -3295.629
  0  65   -22.918     0.005108      -3278.156
  5  65   -22.391     0.005766      -3280.107
 10  65   -22.900     0.005128      -3279.013
 15  65   -23.627     0.004338      -3279.437
 20  65   -27.158     0.001924      -3277.940
 25  65   -25.293     0.002956      -3280.579
 30  65   -24.760     0.003342      -3282.790
 35  65   -25.105     0.003087      -3285.018
 40  65   -24.056     0.003930      -3286.737
 45  65   -22.439     0.005702      -3288.296
 50  65   -22.080     0.006194      -3290.323
 55  65   -20.756     0.008403      -3292.228
 60  65   -18.813     0.013144      -3292.522
 65  65   -17.046     0.019743      -3292.148
 70  65   -15.753     0.026587      -3291.024
 75  65   -14.470     0.035726      -3293.342
 80  65   -13.332     0.046435      -3290.837
 85  65   -12.424     0.057232      -3292.729
 90  65   -11.489     0.070969      -3291.456
 95  65   -12.267     0.059331      -3291.253
100  65   -12.903     0.051257      -3293.462
105  65   -14.463     0.035785      -3293.614
110  65   -15.796     0.026327      -3296.774
115  65   -16.706     0.021350      -3294.658
120  65   -18.677     0.013562      -3296.730
125  65   -19.926     0.010171      -3297.058
130  65   -22.512     0.005608      -3296.115
135  65   -23.296     0.004682      -3295.435
140  65   -24.048     0.003937      -3295.183
145  65   -25.999     0.002512      -3295.348
150  65   -25.764     0.002652      -3295.036
155  65   -26.218     0.002389      -3295.518
160  65   -27.732     0.001686      -3295.935
165  65   -23.835     0.004135      -3296.506
170  65   -22.659     0.005421      -3296.502
175  65   -21.459     0.007146      -3297.619
180  65   -21.864     0.006510      -3295.629
  0  70   -22.918     0.005108      -3278.156
  5  70   -22.391     0.005766      -3280.107
 10  70   -22.900     0.005128      -3279.013
 15  70   -23.627     0.004338      -3279.437
 20  70   -27.158     0.001924      -3277.940
 25  70   -25.293     0.002956      -3280.579
 30  70   -24.760     0.003342      -3282.790
 35  70   -25.105     0.003087      -3285.018
 40  70   -24.056     0.003930      -3286.737
 45  70   -22.439     0.005702      -3288.296
 50  70   -22.080     0.006194      -3290.323
 55  70   -20.756     0.008403      -3292.228
 60  70   -18.813     0.013144      -3292.522
 65  70   -17.046     0.019743      -3292.148
 70  70   -15.753     0.026587      -3291.024
 75  70   -14.470     0.035726      -3293.342
 80  70   -13.332     0.046435      -3290.837
 85  70   -12.424     0.057232      -3292.729
 90  70   -11.489     0.070969      -3291.456
 95  70   -12.267     0.059331      -3291.253
100  70   -12.903     0.051257      -3293.462
105  70   -14.463     0.035785      -3293.614
110  70   -15.796     0.026327      -3296.774
115  70   -16.706     0.021350      -3294.658
120  70   -18.677     0.013562      -3296.730
125  70   -19.926     0.010171      -3297.058
130  70   -22.512     0.005608      -3296.115
135  70   -23.296     0.004682      -3295.435
140  70   -24.048     0.003937      -3295.183
145  70   -25.999     0.002512      -3295.348
150  70   -25.764     0.002652      -3295.036
155  70   -26.218     0.002389      -3295.518
160  70   -27.732     0.001686      -3295.935
165  70   -23.835     0.004135      -3296.506
170  70   -22.659     0.005421      -3296.502
175  70   -21.459     0.007146      -3297.619
180  70   -21.864     0.006510      -3295.629
  0  75   -22.918     0.005108      -3278.156
  5  75   -22.391     0.005766      -3280.107
 10  75   -22.900     0.005128      -3279.013
 15  75   -23.627     0.004338      -3279.437
 20  75   -27.158     0.001924      -3277.940
 25  75   -25.293     0.002956      -3280.579
 30  75   -24.760     0.003342      -3282.790
 35  75   -25.105     0.003087      -3285.018
 40  75   -24.056     0.003930      -3286.737
 45  75   -22.439     0.005702      -3288.296
 50  75   -22.080     0.006194      -3290.323
 55  75   -20.756     0.008403      -3292.228
 60  75   -18.813     0.013144      -3292.522
 65  75   -17.046     0.019743      -3292.148
 70  75   -15.753     0.026587      -3291.024
 75  75   -14.470     0.035726      -3293.342
 80  75   -13.332     0.046435      -3290.837
 85  75   -12.424     0.057232      -3292.729
 90  75   -11.489     0.070969      -3291.456
 95  75   -12.267     0.059331      -3291.253
100  75   -12.903     0.051257      -3293.462
105  75   -14.463     0.035785      -3293.614
110  75   -15.796     0.026327      -3296.774
115  75   -16.706     0.021350      -3294.658
120  75   -18.677     0.013562      -3296.730
125  75   -19.926     0.010171      -3297.058
130  75   -22.512     0.005608      -3296.115
135  75   -23.296     0.004682      -3295.435
140  75   -24.048     0.003937      -3295.183
145  75   -25.999     0.002512      -3295.348
150  75   -25.764     0.002652      -3295.036
155  75   -26.218     0.002389      -3295.518
160  75   -27.732     0.001686      -3295.935
165  75   -23.835     0.004135      -3296.506
170  75   -22.659     0.005421      -3296.502
175  75   -21.459     0.007146      -3297.619
180  75   -21.864     0.006510      -3295.629
  0  80   -22.918     0.005108      -3278.156
  5  80   -22.391     0.005766      -3280.107
 10  80   -22.900     0.005128      -3279.013
 15  80   -23.627     0.004338      -3279.437
 20  80   -27.158     0.001924      -3277.940
 25  80   -25.293     0.002956      -3280.579
 30  80   -24.760     0.003342      -3282.790
 35  80   -25.105     0.003087      -3285.018
 40  80   -24.056     0.003930      -3286.737
 45  80   -22.439     0.005702      -3288.296
 50  80   -22.080     0.006194      -3290.323
 55  80   -20.756     0.008403      -3292.228
 60  80   -18.813     0.013144      -3292.522
 65  80   -17.046     0.019743      -3292.148
 70  80   -15.753     0.026587      -3291.024
 75  80   -14.470     0.035726      -3293.342
 80  80   -13.332     0.046435      -3290.837
 85  80   -12.424     0.057232      -3292.729
 90  80   -11.489     0.070969      -3291.456
 95  80   -12.267     0.059331      -3291.253
100  80   -12.903     0.051257      -3293.462
105  80   -14.463     0.035785      -3293.614
110  80   -15.796     0.026327      -3296.774
115  80   -16.706     0.021350      -3294.658
120  80   -18.677     0.013562      -3296.730
125  80   -19.926     0.010171      -3297.058
130  80   -22.512     0.005608      -3296.115
135  80   -23.296     0.004682      -3295.435
140  80   -24.048     0.003937      -3295.183
145  80   -25.999     0.002512      -3295.348
150  80   -25.764     0.002652      -3295.036
155  80   -26.218     0.002389      -3295.518
160  80   -27.732     0.001686      -3295.935
165  80   -23.835     0.004135      -3296.506
170  80   -22.659     0.005421      -3296.502
175  80   -21.459     0.007146      -3297.619
180  80   -21.864     0.006510      -3295.629
  0  85   -22.918     0.005108      -3278.156
  5  85   -22.391     0.005766      -3280.107
 10  85   -22.900     0.005128      -3279.013
 15  85   -23.627     0.004338      -3279.437
 20  85   -27.158     0.001924      -3277.940
 25  85   -25.293     0.002956      -3280.579
 30  85   -24.760     0.003342      -3282.790
 35  85   -25.105     0.003087      -3285.018
 40  85   -24.056     0.003930      -3286.737
 45  85   -22.439     0.005702      -3288.296
 50  85   -22.080     0.006194      -3290.323
 55  85   -20.756     0.008403      -3292.228
 60  85   -18.813     0.013144      -3292.522
 65  85   -17.046     0.019743      -3292.148
 70  85   -15.753     0.026587      -3291.024
 75  85   -14.470     0.035726      -3293.342
 80  85   -13.332     0.046435      -3290.837
 85  85   -12.424     0.057232      -3292.729
 90  85   -11.489     0.070969      -3291.456
 95  85   -12.267     0.059331      -3291.253
100  85   -12.903     0.051257      -3293.462
105  85   -14.463     0.035785      -3293.614
110  85   -15.796     0.026327      -3296.774
115  85   -16.706     0.021350      -3294.658
120  85   -18.677     0.013562      -3296.730
125  85   -19.926     0.010171      -3297.058
130  85   -22.512     0.005608      -3296.115
135  85   -23.296     0.004682      -3295.435
140  85   -24.048     0.003937      -3295.183
145  85   -25.999     0.002512      -3295.348
150  85   -25.764     0.002652      -3295.036
155  85   -26.218     0.002389      -3295.518
160  85   -27.732     0.001686      -3295.935
165  85   -23.835     0.004135      -3296.506
170  85   -22.659     0.005421      -3296.502
175  85   -21.459     0.007146      -3297.619
180  85   -21.864     0.006510      -3295.629
  0  90   -22.918     0.005108      -3278.156
  5  90   -22.391     0.005766      -3280.107
 10  90   -22.900     0.005128      -3279.013
