Frequency,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8,Ch9,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15
391.752577,5.31146e-07,1.02157e-07,3.08194e-07,5.7494e-08,3.78311e-07,2.5788e-07,7.54253e-08,3.32038e-07,2.76102e-07,1.89787e-07,2.54467e-07,1.81449e-07,2.26739e-07,2.59674e-07,2.37546e-07,1.88023e-07
392.611684,5.23654e-07,1.01394e-07,3.04386e-07,6.04449e-08,3.7379e-07,2.54879e-07,7.68288e-08,3.27724e-07,2.71993e-07,1.86436e-07,2.50165e-07,1.79216e-07,2.23651e-07,2.54716e-07,2.3366e-07,1.85813e-07
393.470790,5.15859e-07,1.00527e-07,3.01482e-07,6.44668e-08,3.69469e-07,2.51927e-07,7.94112e-08,3.22613e-07,2.68167e-07,1.83368e-07,2.46638e-07,1.77177e-07,2.20699e-07,2.49574e-07,2.29932e-07,1.83213e-07
394.329897,5.09734e-07,9.91684e-08,2.98208e-07,6.47725e-08,3.65582e-07,2.48684e-07,7.89733e-08,3.18182e-07,2.64222e-07,1.802e-07,2.42948e-07,1.74955e-07,2.17829e-07,2.44545e-07,2.25812e-07,1.8027e-07
395.189003,5.07455e-07,9.75717e-08,2.94272e-07,5.98105e-08,3.62616e-07,2.4561e-07,7.43491e-08,3.15782e-07,2.61178e-07,1.76736e-07,2.38281e-07,1.72526e-07,2.15155e-07,2.41026e-07,2.22238e-07,1.77794e-07
396.048110,5.07917e-07,9.71566e-08,2.90611e-07,5.69725e-08,3.60981e-07,2.43684e-07,7.26271e-08,3.14687e-07,2.59452e-07,1.73695e-07,2.3398e-07,1.70569e-07,2.13247e-07,2.38939e-07,2.20323e-07,1.76554e-07
396.907216,5.08164e-07,1.00139e-07,2.89786e-07,6.96325e-08,3.59496e-07,2.43386e-07,8.53994e-08,3.14524e-07,2.5867e-07,1.72332e-07,2.31337e-07,1.69895e-07,2.11665e-07,2.37685e-07,2.19034e-07,1.76269e-07
397.766323,5.06447e-07,1.07072e-07,2.93103e-07,9.56456e-08,3.57997e-07,2.44524e-07,1.11209e-07,3.14117e-07,2.584e-07,1.73278e-07,2.31476e-07,1.70126e-07,2.09836e-07,2.3606e-07,2.18332e-07,1.76091e-07
398.625430,5.03277e-07,1.15704e-07,2.98707e-07,1.21991e-07,3.57157e-07,2.46394e-07,1.37922e-07,3.13485e-07,2.57969e-07,1.75711e-07,2.33055e-07,1.70875e-07,2.07837e-07,2.34495e-07,2.17873e-07,1.75459e-07
399.484536,5.0271e-07,1.22291e-07,3.04417e-07,1.38786e-07,3.5953e-07,2.4884e-07,1.55408e-07,3.13578e-07,2.58489e-07,1.77794e-07,2.35048e-07,1.71767e-07,2.07083e-07,2.33328e-07,2.17905e-07,1.74744e-07
