 10000 6 1 0.0 0.0
 0.94962E-01 0.00000E+00 0.00000E+00 0.90504E+00 0.00000E+00 0.00000E+00
 0.11245E+00 0.00000E+00 0.00000E+00 0.86551E+00 0.22034E-01 0.00000E+00
 0.51237E+00 0.00000E+00 0.00000E+00 0.97442E-01 0.39019E+00 0.00000E+00
 0.23148E+00 0.00000E+00 0.00000E+00 0.80819E-01 0.68770E+00 0.00000E+00
 0.80565E-01 0.00000E+00 0.00000E+00 0.68565E+00 0.23379E+00 0.00000E+00
 0.39295E+00 0.00000E+00 0.00000E+00 0.60705E+00 0.00000E+00 0.00000E+00
 0.10578E-01 0.00000E+00 0.00000E+00 0.94524E+00 0.44186E-01 0.00000E+00
 0.57436E+00 0.00000E+00 0.23482E+00 0.00000E+00 0.19083E+00 0.00000E+00
 0.18115E+00 0.00000E+00 0.00000E+00 0.81885E+00 0.00000E+00 0.00000E+00
 0.15087E+00 0.00000E+00 0.00000E+00 0.84913E+00 0.00000E+00 0.00000E+00
 0.35710E-02 0.80454E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.19189E+00
 0.34309E-01 0.50901E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.45669E+00
 0.95109E-01 0.68223E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.22266E+00
 0.31724E-01 0.00000E+00 0.21310E+00 0.00000E+00 0.75518E+00 0.00000E+00
 0.69094E-01 0.00000E+00 0.00000E+00 0.77582E+00 0.15509E+00 0.00000E+00
 0.42372E+00 0.29151E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.28476E+00
 0.40548E+00 0.00000E+00 0.27366E+00 0.00000E+00 0.32086E+00 0.00000E+00
 0.45442E-01 0.31890E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.63566E+00
 0.20085E+00 0.00000E+00 0.00000E+00 0.41088E+00 0.38827E+00 0.00000E+00
 0.12889E+00 0.00000E+00 0.00000E+00 0.13980E+00 0.73131E+00 0.00000E+00
 0.71083E-03 0.00000E+00 0.00000E+00 0.99929E+00 0.00000E+00 0.00000E+00
 0.78939E+00 0.00000E+00 0.00000E+00 0.21061E+00 0.00000E+00 0.00000E+00
 0.15935E+00 0.00000E+00 0.00000E+00 0.84065E+00 0.00000E+00 0.00000E+00
 0.24219E+00 0.00000E+00 0.00000E+00 0.55846E+00 0.19935E+00 0.00000E+00
 0.28049E+00 0.00000E+00 0.32864E+00 0.00000E+00 0.39086E+00 0.00000E+00
 0.64101E+00 0.00000E+00 0.00000E+00 0.24192E+00 0.11706E+00 0.00000E+00
 0.50330E+00 0.00000E+00 0.00000E+00 0.49670E+00 0.00000E+00 0.00000E+00
 0.32884E+00 0.00000E+00 0.00000E+00 0.49019E+00 0.18097E+00 0.00000E+00
 0.28317E+00 0.00000E+00 0.59166E+00 0.00000E+00 0.12516E+00 0.00000E+00
 0.23962E-01 0.00000E+00 0.00000E+00 0.92132E+00 0.54719E-01 0.00000E+00
 0.11244E+00 0.77432E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.11324E+00
 0.11090E+00 0.00000E+00 0.78317E+00 0.00000E+00 0.10593E+00 0.00000E+00
 0.66063E+00 0.00000E+00 0.00000E+00 0.40780E-01 0.29859E+00 0.00000E+00
 0.11566E+00 0.40436E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.47998E+00
 0.41077E+00 0.00000E+00 0.00000E+00 0.15692E+00 0.43231E+00 0.00000E+00
 0.57830E+00 0.00000E+00 0.39090E+00 0.00000E+00 0.30794E-01 0.00000E+00
 0.70903E+00 0.12592E+00 0.00000E+00 0.00000E+00 0.00000E+00 0.16505E+00
