# depth_m  pct_change_up_vs_central  pct_change_low_vs_central  
738.000000 25.577215 -9.728849
739.000000 25.571375 -9.726734
740.000000 25.565531 -9.724617
741.000000 25.559681 -9.722498
742.000000 25.553825 -9.720377
743.000000 25.547965 -9.718254
744.000000 25.542099 -9.716129
745.000000 25.536229 -9.714003
746.000000 25.530353 -9.711874
747.000000 25.526614 -9.709744
748.000000 25.525490 -9.707612
749.000000 25.524365 -9.705478
750.000000 25.523239 -9.703342
751.000000 25.522112 -9.701204
752.000000 25.520984 -9.699065
753.000000 25.519855 -9.696923
754.000000 25.518725 -9.694779
755.000000 25.517594 -9.692634
756.000000 25.516463 -9.690487
757.000000 25.515330 -9.688338
758.000000 25.514196 -9.686187
759.000000 25.513061 -9.684034
760.000000 25.511925 -9.681879
761.000000 25.510788 -9.679722
762.000000 25.509650 -9.677563
763.000000 25.508511 -9.675403
764.000000 25.507371 -9.673240
765.000000 25.506230 -9.671076
766.000000 25.505088 -9.668909
767.000000 25.503945 -9.666741
768.000000 25.502801 -9.664571
769.000000 25.501656 -9.662398
770.000000 25.500510 -9.660224
771.000000 25.499363 -9.658048
772.000000 25.498215 -9.655870
773.000000 25.497066 -9.653690
774.000000 25.495916 -9.651508
775.000000 25.494765 -9.652187
776.000000 25.493612 -9.654775
777.000000 25.492459 -9.657366
778.000000 25.491305 -9.659958
779.000000 25.490150 -9.662554
780.000000 25.488993 -9.665151
781.000000 25.487836 -9.667751
782.000000 25.486678 -9.670353
783.000000 25.485518 -9.672957
784.000000 25.484358 -9.675564
785.000000 25.485463 -9.676542
786.000000 25.498390 -9.669012
787.000000 25.511331 -9.661474
788.000000 25.524287 -9.653927
789.000000 25.537257 -9.646372
790.000000 25.550242 -9.638809
791.000000 25.563242 -9.631237
792.000000 25.576256 -9.623656
793.000000 25.589285 -9.616067
794.000000 25.602328 -9.608469
795.000000 25.615387 -9.600863
796.000000 25.632293 -9.593248
797.000000 25.649793 -9.585625
798.000000 25.667312 -9.577993
799.000000 25.684850 -9.570352
800.000000 25.702409 -9.562703
801.000000 25.719987 -9.555045
802.000000 25.737586 -9.547378
803.000000 25.755204 -9.539703
804.000000 25.772842 -9.532019
805.000000 25.790500 -9.524326
806.000000 25.808178 -9.516625
807.000000 25.825877 -9.508914
808.000000 25.843595 -9.501196
809.000000 25.861334 -9.493468
810.000000 25.879093 -9.485731
811.000000 25.896871 -9.477986
812.000000 25.914671 -9.470232
813.000000 25.932490 -9.462469
814.000000 25.950330 -9.454697
815.000000 25.968190 -9.446916
816.000000 25.986071 -9.439127
817.000000 26.003972 -9.431328
818.000000 26.021893 -9.423521
819.000000 26.039835 -9.415705
820.000000 26.057797 -9.407879
821.000000 26.075780 -9.400045
822.000000 26.093784 -9.392202
823.000000 26.111808 -9.384350
824.000000 26.129853 -9.376489
825.000000 26.147918 -9.368619
826.000000 26.166004 -9.360739
827.000000 26.184111 -9.352851
828.000000 26.202239 -9.344954
829.000000 26.220388 -9.337047
830.000000 26.238557 -9.329132
831.000000 26.256748 -9.321207
832.000000 26.274959 -9.313274
833.000000 26.293192 -9.305331
834.000000 26.311445 -9.297379
835.000000 26.329720 -9.289418
836.000000 26.348015 -9.281447
837.000000 26.366332 -9.273468
838.000000 26.384670 -9.265479
839.000000 26.397885 -9.261173
840.000000 26.407098 -9.259742
841.000000 26.416309 -9.258309
842.000000 26.425530 -9.256875
843.000000 26.434759 -9.255440
844.000000 26.443999 -9.254003
845.000000 26.453247 -9.257144
846.000000 26.462505 -9.260687
847.000000 26.471772 -9.264233
848.000000 26.481049 -9.267783
849.000000 26.490335 -9.271336
850.000000 26.499631 -9.274894
851.000000 26.508936 -9.278454
852.000000 26.518251 -9.282019
853.000000 26.527575 -9.285587
854.000000 26.536908 -9.289158
855.000000 26.546251 -9.292734
856.000000 26.555604 -9.296313
857.000000 26.564966 -9.299895
858.000000 26.574338 -9.303481
859.000000 26.583719 -9.307071
860.000000 26.593110 -9.310665
861.000000 26.602511 -9.314262
862.000000 26.611921 -9.317863
863.000000 26.621341 -9.321468
864.000000 26.630770 -9.325076
865.000000 26.640209 -9.328688
866.000000 26.649658 -9.332304
867.000000 26.659116 -9.335923
868.000000 26.668584 -9.339546
869.000000 26.678062 -9.343173
870.000000 26.687550 -9.346804
871.000000 26.697047 -9.350438
