Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)\n
218.75,5696.394,1.115,5696.394,1.115,5696.394,1.115,5696.394,1.115,5696.394,1.115,5696.394,1.115,5696.394,1.115,5696.394,1.115,5696.394,1.115,5696.394,1.115,5696.394,1.115,5696.394,1.115,5696.394,1.115,5696.394,1.115,5696.394,1.115,5696.394,1.115\n
222.66,5691.805,1.045,5691.805,1.045,5691.805,1.045,5691.805,1.045,5691.805,1.045,5691.805,1.045,5691.805,1.045,5691.805,1.045,5691.805,1.045,5691.805,1.045,5691.805,1.045,5691.805,1.045,5691.805,1.045,5691.805,1.045,5691.805,1.045,5691.805,1.045\n
226.56,5687.22,0.977,5687.22,0.977,5687.22,0.977,5687.22,0.977,5687.22,0.977,5687.22,0.977,5687.22,0.977,5687.22,0.977,5687.22,0.977,5687.22,0.977,5687.22,0.977,5687.22,0.977,5687.22,0.977,5687.22,0.977,5687.22,0.977,5687.22,0.977\n
230.47,5682.638,0.912,5682.638,0.912,5682.638,0.912,5682.638,0.912,5682.638,0.912,5682.638,0.912,5682.638,0.912,5682.638,0.912,5682.638,0.912,5682.638,0.912,5682.638,0.912,5682.638,0.912,5682.638,0.912,5682.638,0.912,5682.638,0.912,5682.638,0.912\n
234.37,5674.139,0.849,5674.139,0.849,5674.139,0.849,5674.139,0.849,5674.139,0.849,5674.139,0.849,5674.139,0.849,5674.139,0.849,5674.139,0.849,5674.139,0.849,5674.139,0.849,5674.139,0.849,5674.139,0.849,5674.139,0.849,5674.139,0.849,5674.139,0.849\n
238.28,5653.274,0.788,5653.274,0.788,5653.274,0.788,5653.274,0.788,5653.274,0.788,5653.274,0.788,5653.274,0.788,5653.274,0.788,5653.274,0.788,5653.274,0.788,5653.274,0.788,5653.274,0.788,5653.274,0.788,5653.274,0.788,5653.274,0.788,5653.274,0.788\n
242.19,5633.133,0.728,5633.133,0.728,5633.133,0.728,5633.133,0.728,5633.133,0.728,5633.133,0.728,5633.133,0.728,5633.133,0.728,5633.133,0.728,5633.133,0.728,5633.133,0.728,5633.133,0.728,5633.133,0.728,5633.133,0.728,5633.133,0.728,5633.133,0.728\n
246.09,5612.418,0.67,5612.418,0.67,5612.418,0.67,5612.418,0.67,5612.418,0.67,5612.418,0.67,5612.418,0.67,5612.418,0.67,5612.418,0.67,5612.418,0.67,5612.418,0.67,5612.418,0.67,5612.418,0.67,5612.418,0.67,5612.418,0.67,5612.418,0.67\n
250,5591.779,0.614,5591.779,0.614,5591.779,0.614,5591.779,0.614,5591.779,0.614,5591.779,0.614,5591.779,0.614,5591.779,0.614,5591.779,0.614,5591.779,0.614,5591.779,0.614,5591.779,0.614,5591.779,0.614,5591.779,0.614,5591.779,0.614,5591.779,0.614\n
253.91,5581.488,0.558,5581.488,0.558,5581.488,0.558,5581.488,0.558,5581.488,0.558,5581.488,0.558,5581.488,0.558,5581.488,0.558,5581.488,0.558,5581.488,0.558,5581.488,0.558,5581.488,0.558,5581.488,0.558,5581.488,0.558,5581.488,0.558,5581.488,0.558\n
257.81,5571.216,0.503,5571.216,0.503,5571.216,0.503,5571.216,0.503,5571.216,0.503,5571.216,0.503,5571.216,0.503,5571.216,0.503,5571.216,0.503,5571.216,0.503,5571.216,0.503,5571.216,0.503,5571.216,0.503,5571.216,0.503,5571.216,0.503,5571.216,0.503\n
