Frequency,Gain(Ch.0),Phase(Ch.0),Gain(Ch.1),Phase(Ch.1),Gain(Ch.2),Phase(Ch.2),Gain(Ch.3),Phase(Ch.3),Gain(Ch.4),Phase(Ch.4),Gain(Ch.5),Phase(Ch.5),Gain(Ch.6),Phase(Ch.6),Gain(Ch.7),Phase(Ch.7),Gain(Ch.8),Phase(Ch.8),Gain(Ch.9),Phase(Ch.9),Gain(Ch.10),Phase(Ch.10),Gain(Ch.11),Phase(Ch.11),Gain(Ch.12),Phase(Ch.12),Gain(Ch.13),Phase(Ch.13),Gain(Ch.14),Phase(Ch.14),Gain(Ch.15),Phase(Ch.15)
72.407045,4.28362e-08,2.37742,4.22126e-08,2.37742,4.55874e-08,2.37742,4.05857e-08,2.37742,3.95814e-08,2.37742,0.398507,2.37742,4.34978e-08,2.37742,3.79314e-08,2.37742,5.49425e-08,2.37742,4.51466e-08,2.37742,0.556931,2.37742,0.44742,2.37742,0.447905,2.37742,0.4829,2.37742,0.387812,2.37742,0.893075,2.37742
74.363992,9.20311e-08,2.58529,9.00517e-08,2.58529,9.64215e-08,2.58529,8.81613e-08,2.58529,8.54274e-08,2.58529,0,2.58529,9.27238e-08,2.58529,8.27089e-08,2.58529,1.12222e-07,2.58529,9.64037e-08,2.58529,0,2.58529,0,2.58529,0,2.58529,0,2.58529,0,2.58529,0,2.58529
76.320939,1.84188e-07,3.50172,1.82655e-07,3.50172,1.85189e-07,3.50172,1.88121e-07,3.50172,1.83295e-07,3.50172,0,3.50172,1.83553e-07,3.50172,1.79107e-07,3.50172,2.02952e-07,3.50172,2.02119e-07,3.50172,0,3.50172,0,3.50172,0,3.50172,0,3.50172,0,3.50172,0,3.50172
78.277886,4.38375e-07,2.53648,4.26959e-07,2.53648,4.6152e-07,2.53648,4.134e-07,2.53648,4.04471e-07,2.53648,0,2.53648,4.44022e-07,2.53648,3.94122e-07,2.53648,5.12387e-07,2.53648,4.43567e-07,2.53648,0,2.53648,0,2.53648,0,2.53648,0,2.53648,0,2.53648,0,2.53648
80.234834,9.40844e-07,2.699,9.22699e-07,2.699,9.83959e-07,2.699,9.004e-07,2.699,8.85802e-07,2.699,0,2.699,9.53077e-07,2.699,8.63452e-07,2.699,1.08213e-06,2.699,9.5453e-07,2.699,0,2.699,0,2.699,0,2.699,0,2.699,0,2.699,0,2.699
82.191781,1.90934e-06,3.5333,1.88777e-06,3.5333,1.92162e-06,3.5333,1.95291e-06,3.5333,1.90713e-06,3.5333,0,3.5333,1.91208e-06,3.5333,1.87761e-06,3.5333,2.0142e-06,3.5333,2.01446e-06,3.5333,0,3.5333,0,3.5333,0,3.5333,0,3.5333,0,3.5333,0,3.5333
84.148728,4.54699e-06,2.70698,4.42872e-06,2.70698,4.75577e-06,2.70698,4.33692e-06,2.70698,4.25357e-06,2.70698,0,2.70698,4.60336e-06,2.70698,4.15789e-06,2.70698,5.06298e-06,2.70698,4.46419e-06,2.70698,0,2.70698,0,2.70698,0,2.70698,0,2.70698,0,2.70698,0,2.70698
86.105675,9.84868e-06,2.61208,9.63087e-06,2.61208,1.02922e-05,2.61208,9.63495e-06,2.61208,9.42209e-06,2.61208,0,2.61208,9.96391e-06,2.61208,9.18127e-06,2.61208,1.07653e-05,2.61208,9.7483e-06,2.61208,0,2.61208,0,2.61208,0,2.61208,0,2.61208,0,2.61208,0,2.61208
88.062622,2.06e-05,2.91943,2.03813e-05,2.91943,2.07958e-05,2.91943,2.1434e-05,2.91943,2.07623e-05,2.91943,0,2.91943,2.06784e-05,2.91943,2.03002e-05,2.91943,2.12255e-05,2.91943,2.12082e-05,2.91943,0,2.91943,0,2.91943,0,2.91943,0,2.91943,0,2.91943,0,2.91943
90.019569,4.93199e-05,2.01211,4.80805e-05,2.01211,5.18967e-05,2.01211,4.89691e-05,2.01211,4.75767e-05,2.01211,0,2.01211,4.9971e-05,2.01211,4.58455e-05,2.01211,5.32926e-05,2.01211,4.83365e-05,2.01211,0,2.01211,0,2.01211,0,2.01211,0,2.01211,0,2.01211,0,2.01211
91.976517,0.000110213,2.33498,0.000107605,2.33498,0.000114551,2.33498,0.000111356,2.33498,0.000108026,2.33498,0,2.33498,0.000110739,2.33498,0.000103284,2.33498,0.000116621,2.33498,0.000108902,2.33498,0,2.33498,0,2.33498,0,2.33498,0,2.33498,0,2.33498,0,2.33498
93.933464,0.000239695,3.28315,0.000235967,3.28315,0.000243862,3.28315,0.000255584,3.28315,0.000245163,3.28315,0,3.28315,0.000239666,3.28315,0.000234036,3.28315,0.000249585,3.28315,0.000246405,3.28315,0,3.28315,0,3.28315,0,3.28315,0,3.28315,0,3.28315,0,3.28315
95.890411,0.000575114,2.0454,0.0005615,2.0454,0.000601441,2.0454,0.000591458,2.0454,0.000568666,2.0454,0,2.0454,0.000579474,2.0454,0.000537133,2.0454,0.000616957,2.0454,0.000572858,2.0454,0,2.0454,0,2.0454,0,2.0454,0,2.0454,0,2.0454,0,2.0454
97.847358,0.00130886,0.4177,0.00127831,0.4177,0.00135762,0.4177,0.00136394,0.4177,0.00130981,0.4177,0,0.4177,0.0013129,0.4177,0.00122944,0.4177,0.00137492,0.4177,0.00132121,0.4177,0,0.4177,0,0.4177,0,0.4177,0,0.4177,0,0.4177,0,0.4177
99.804305,0.00293316,-1.0819,0.00286974,-1.0819,0.00303864,-1.0819,0.00313885,-1.0819,0.00301091,-1.0819,0,-1.0819,0.00294966,-1.0819,0.00282505,-1.0819,0.00302804,-1.0819,0.00303971,-1.0819,0,-1.0819,0,-1.0819,0,-1.0819,0,-1.0819,0,-1.0819,0,-1.0819
101.761252,0.00689945,0.953195,0.00672863,0.953195,0.00717175,0.953195,0.00719242,0.953195,0.00690875,0.953195,0,0.953195,0.0069123,0.953195,0.00643084,0.953195,0.00746896,0.953195,0.00702468,0.953195,0,0.953195,0,0.953195,0,0.953195,0,0.953195,0,0.953195,0,0.953195
103.718200,0.0155573,0.823067,0.0152031,0.823067,0.0160195,0.823067,0.0163194,0.823067,0.0156782,0.823067,0,0.823067,0.0154653,0.823067,0.0145282,0.823067,0.0164831,0.823067,0.0160317,0.823067,0,0.823067,0,0.823067,0,0.823067,0,0.823067,0,0.823067,0,0.823067
105.675147,0.0343216,-0.398003,0.0336712,-0.398003,0.0349316,-0.398003,0.0365117,-0.398003,0.0351012,-0.398003,0,-0.398003,0.0339091,-0.398003,0.0325499,-0.398003,0.0358036,-0.398003,0.0361208,-0.398003,0,-0.398003,0,-0.398003,0,-0.398003,0,-0.398003,0,-0.398003,0,-0.398003
107.632094,0.0779999,1.24426,0.0763073,1.24426,0.0804707,1.24426,0.0811129,1.24426,0.078333,1.24426,0,1.24426,0.0772372,1.24426,0.0724427,1.24426,0.082967,1.24426,0.0808413,1.24426,0,1.24426,0,1.24426,0,1.24426,0,1.24426,0,1.24426,0,1.24426
109.589041,0.170718,2.93869,0.166998,2.93869,0.175569,2.93869,0.177228,2.93869,0.171737,2.93869,0,2.93869,0.168517,2.93869,0.159201,2.93869,0.184773,2.93869,0.177767,2.93869,0,2.93869,0,2.93869,0,2.93869,0,2.93869,0,2.93869,0,2.93869
111.545988,0.364407,4.28602,0.357382,4.28602,0.371049,4.28602,0.379956,4.28602,0.370039,4.28602,0,4.28602,0.358001,4.28602,0.344332,4.28602,0.383438,4.28602,0.383457,4.28602,0,4.28602,0,4.28602,0,4.28602,0,4.28602,0,4.28602,0,4.28602
113.502935,0.792592,2.59677,0.773064,2.59677,0.813675,2.59677,0.805078,2.59677,0.78828,2.59677,0,2.59677,0.779102,2.59677,0.735746,2.59677,0.832585,2.59677,0.815932,2.59677,0,2.59677,0,2.59677,0,2.59677,0,2.59677,0,2.59677,0,2.59677
115.459883,1.65556,2.84546,1.61258,2.84546,1.69069,2.84546,1.6741,2.84546,1.64438,2.84546,0,2.84546,1.62316,2.84546,1.54433,2.84546,1.73749,2.84546,1.6956,2.84546,0,2.84546,0,2.84546,0,2.84546,0,2.84546,0,2.84546,0,2.84546
117.416830,3.35328,4.01525,3.26541,4.01525,3.38111,4.01525,3.40849,4.01525,3.34602,4.01525,0,4.01525,3.27075,4.01525,3.17255,4.01525,3.49093,4.01525,3.43318,4.01525,0,4.01525,0,4.01525,0,4.01525,0,4.01525,0,4.01525,0,4.01525
119.373777,6.84455,2.94679,6.64736,2.94679,6.98513,2.94679,6.9563,2.94679,6.74332,2.94679,0,2.94679,6.70038,2.94679,6.42799,2.94679,6.96272,2.94679,6.83871,2.94679,0,2.94679,0,2.94679,0,2.94679,0,2.94679,0,2.94679,0,2.94679
121.330724,13.4305,2.92218,13.1109,2.92218,13.8283,2.92218,14.3741,2.92218,13.4649,2.92218,0,2.92218,13.207,2.92218,12.8738,2.92218,13.4694,2.92218,13.557,2.92218,0,2.92218,0,2.92218,0,2.92218,0,2.92218,0,2.92218,0,2.92218
123.287671,25.9131,3.30995,25.7467,3.30995,27.2293,3.30995,30.7567,3.30995,27.1203,3.30995,0,3.30995,25.8185,3.30995,26.0232,3.30995,26.3302,3.30995,27.6113,3.30995,0,3.30995,0,3.30995,0,3.30995,0,3.30995,0,3.30995,0,3.30995
125.244618,52.1957,2.08022,53.0177,2.08022,57.7787,2.08022,68.8649,2.08022,57.1347,2.08022,0,2.08022,53.4799,2.08022,54.6577,2.08022,55.5105,2.08022,59.9163,2.08022,0,2.08022,0,2.08022,0,2.08022,0,2.08022,0,2.08022,0,2.08022
127.201566,106.483,2.54028,111.057,2.54028,122.376,2.54028,153.894,2.54028,122.067,2.54028,0,2.54028,112.144,2.54028,117.714,2.54028,118.306,2.54028,135.26,2.54028,0,2.54028,0,2.54028,0,2.54028,0,2.54028,0,2.54028,0,2.54028
129.158513,219.091,3.99415,230.825,3.99415,254.399,3.99415,328.528,3.99415,254.989,3.99415,0,3.99415,233.371,3.99415,249.936,3.99415,250.018,3.99415,298.492,3.99415,0,3.99415,0,3.99415,0,3.99415,0,3.99415,0,3.99415,0,3.99415
131.115460,447.203,5.33463,460.02,5.33463,511.131,5.33463,656.408,5.33463,503.538,5.33463,0,5.33463,467.004,5.33463,499.972,5.33463,508.696,5.33463,619.972,5.33463,0,5.33463,0,5.33463,0,5.33463,0,5.33463,0,5.33463,0,5.33463
133.072407,884.62,5.02642,847.205,5.02642,991.377,5.02642,1211.17,5.02642,939.509,5.02642,0,5.02642,859.057,5.02642,924.017,5.02642,921.181,5.02642,1187.64,5.02642,0,5.02642,0,5.02642,0,5.02642,0,5.02642,0,5.02642,0,5.02642
