realTime 	 junk 	 GPS LAT 	 GPS LONG 	 GPS ALT 	 heading 	 junk 	 junk 	 junk
-203552	0	-77.8618	167.063	-23.43	999	0	0	0
-203539	0	-77.8618	167.063	-23.47	999	0	0	0
-203527	0	-77.8618	167.063	-23.51	999	0	0	0
-203520	0	-77.8618	167.063	-23.54	999	0	0	0
-203510	0	-77.8618	167.063	-23.56	999	0	0	0
-203498	0	-77.8618	167.063	-23.56	999	0	0	0
-203486	0	-77.8618	167.063	-23.56	999	0	0	0
-203480	0	-77.8618	167.063	-23.55	999	0	0	0
-203469	0	-77.8618	167.063	-23.54	999	0	0	0
-203458	0	-77.8618	167.063	-23.53	999	0	0	0
-203448	0	-77.8618	167.063	-23.52	999	0	0	0
-203436	0	-77.8618	167.063	-23.52	999	0	0	0
-203423	0	-77.8618	167.063	-23.52	999	0	0	0
-203411	0	-77.8618	167.063	-23.5	999	0	0	0
-203401	0	-77.8618	167.063	-23.52	999	0	0	0
-203388	0	-77.8618	167.063	-23.59	999	0	0	0
-203377	0	-77.8618	167.063	-23.65	999	0	0	0
-203362	0	-77.8618	167.063	-23.76	999	0	0	0
-203351	0	-77.8618	167.063	-23.87	999	0	0	0
-203340	0	-77.8618	167.063	-23.97	999	0	0	0
-203331	0	-77.8618	167.063	-24.05	999	0	0	0
-203321	0	-77.8618	167.063	-24.21	999	0	0	0
-203310	0	-77.8618	167.063	-24.6	999	0	0	0
-203297	0	-77.8618	167.063	-25.15	999	0	0	0
-203286	0	-77.8618	167.063	-25.63	999	0	0	0
-203275	0	-77.8618	167.063	-26.1	999	0	0	0
-203264	0	-77.8618	167.063	-26.51	999	0	0	0
-203253	0	-77.8618	167.063	-26.88	999	0	0	0
-203243	0	-77.8618	167.063	-27.17	999	0	0	0
-203231	0	-77.8618	167.063	-27.47	999	0	0	0
-203221	0	-77.8618	167.063	-27.68	999	0	0	0
-203208	0	-77.8618	167.063	-27.93	999	0	0	0
-203196	0	-77.8618	167.063	-28.13	999	0	0	0
-203184	0	-77.8618	167.063	-28.27	999	0	0	0
-203173	0	-77.8618	167.063	-28.36	999	0	0	0
-203162	0	-77.8618	167.063	-28.44	999	0	0	0
-203149	0	-77.8618	167.063	-28.52	999	0	0	0
-203136	0	-77.8618	167.063	-28.57	999	0	0	0
-203125	0	-77.8618	167.063	-28.57	999	0	0	0
-203114	0	-77.8618	167.063	-28.57	999	0	0	0
-203102	0	-77.8618	167.063	-28.59	999	0	0	0
-203089	0	-77.8618	167.063	-28.65	999	0	0	0
-203078	0	-77.8618	167.063	-28.7	999	0	0	0
-203063	0	-77.8618	167.063	-28.79	999	0	0	0
-203052	0	-77.8618	167.063	-28.86	999	0	0	0
-203040	0	-77.8618	167.063	-28.9	999	0	0	0
-203028	0	-77.8618	167.063	-28.91	999	0	0	0
-203017	0	-77.8618	167.063	-28.91	999	0	0	0
-203007	0	-77.8618	167.063	-28.91	999	0	0	0
-202997	0	-77.8617	167.063	-28.93	999	0	0	0
-202988	0	-77.8617	167.063	-28.95	999	0	0	0
-202977	0	-77.8617	167.063	-29	999	0	0	0
-202965	0	-77.8617	167.063	-29.07	999	0	0	0
-202952	0	-77.8617	167.063	-29.18	999	0	0	0
-202939	0	-77.8617	167.063	-29.27	999	0	0	0
-202928	0	-77.8617	167.063	-29.33	999	0	0	0
-202916	0	-77.8617	167.063	-29.36	999	0	0	0
-202904	0	-77.8617	167.063	-29.34	999	0	0	0
-202891	0	-77.8617	167.063	-29.34	999	0	0	0
-202879	0	-77.8617	167.063	-29.34	999	0	0	0
-202864	0	-77.8617	167.063	-29.27	999	0	0	0
-202852	0	-77.8617	167.063	-29.24	999	0	0	0
-202839	0	-77.8617	167.063	-29.26	999	0	0	0
-202827	0	-77.8617	167.063	-29.24	999	0	0	0
-202817	0	-77.8617	167.063	-29.24	999	0	0	0
-202806	0	-77.8617	167.063	-29.32	999	0	0	0
-202795	0	-77.8617	167.063	-29.34	999	0	0	0
-202783	0	-77.8618	167.063	-29.35	999	0	0	0
-202771	0	-77.8618	167.063	-29.36	999	0	0	0
-202759	0	-77.8618	167.063	-29.35	999	0	0	0
-202749	0	-77.8618	167.063	-29.36	999	0	0	0
-202737	0	-77.8618	167.063	-29.37	999	0	0	0
-202724	0	-77.8618	167.063	-29.41	999	0	0	0
-202714	0	-77.8618	167.063	-29.45	999	0	0	0
-202704	0	-77.8618	167.063	-29.47	999	0	0	0
-202693	0	-77.8618	167.063	-29.48	999	0	0	0
-202683	0	-77.8618	167.063	-29.48	999	0	0	0
-202673	0	-77.8618	167.063	-29.48	999	0	0	0
-202662	0	-77.8618	167.063	-29.44	999	0	0	0
-202648	0	-77.8618	167.063	-29.39	999	0	0	0
-202635	0	-77.8618	167.063	-29.39	999	0	0	0
-202624	0	-77.8618	167.063	-29.39	999	0	0	0
-202613	0	-77.8618	167.063	-29.41	999	0	0	0
-202603	0	-77.8618	167.063	-29.46	999	0	0	0
-202591	0	-77.8618	167.063	-29.55	999	0	0	0
-202580	0	-77.8618	167.063	-29.66	999	0	0	0
-202569	0	-77.8618	167.063	-29.72	999	0	0	0
-202559	0	-77.8618	167.063	-29.69	999	0	0	0
-202548	0	-77.8618	167.063	-29.66	999	0	0	0
-202536	0	-77.8618	167.063	-29.64	999	0	0	0
-202524	0	-77.8618	167.063	-29.09	999	0	0	0
-202512	0	-77.8618	167.063	-27.49	999	0	0	0
-202502	0	-77.8618	167.063	-26.36	999	0	0	0
-202490	0	-77.8618	167.063	-25.23	999	0	0	0
-202479	0	-77.8618	167.063	-24.57	999	0	0	0
-202469	0	-77.8618	167.063	-25.96	999	0	0	0
-202458	0	-77.8618	167.063	-26.72	999	0	0	0
-202448	0	-77.8618	167.063	-27.02	999	0	0	0
-202438	0	-77.8618	167.063	-27	999	0	0	0
