# Frequency[MHz],ampNF Ch0 [lin],ampNF Ch1 [lin],ampNF Ch2 [lin],ampNF Ch3 [lin],ampNF Ch4 [lin],ampNF Ch5 [lin],ampNF Ch6 [lin],ampNF Ch7 [lin],ampNF Ch8 [lin],ampNF Ch9 [lin],ampNF Ch10 [lin],ampNF Ch11 [lin],ampNF Ch12 [lin],ampNF Ch13 [lin],ampNF Ch14 [lin],ampNF Ch15 [lin]
202.405,1.41372,1.41372,1.41372,1.41372,1.41372,1.41372,1.41372,1.41372,1.41372,1.41372,1.41372,1.41372,1.41372,1.41372,1.41372,1.41372
204.409,1.41195,1.41195,1.41195,1.41195,1.41195,1.41195,1.41195,1.41195,1.41195,1.41195,1.41195,1.41195,1.41195,1.41195,1.41195,1.41195
206.413,1.41018,1.41018,1.41018,1.41018,1.41018,1.41018,1.41018,1.41018,1.41018,1.41018,1.41018,1.41018,1.41018,1.41018,1.41018,1.41018
208.417,1.40841,1.40841,1.40841,1.40841,1.40841,1.40841,1.40841,1.40841,1.40841,1.40841,1.40841,1.40841,1.40841,1.40841,1.40841,1.40841
210.421,1.40658,1.40658,1.40658,1.40658,1.40658,1.40658,1.40658,1.40658,1.40658,1.40658,1.40658,1.40658,1.40658,1.40658,1.40658,1.40658
212.425,1.40463,1.40463,1.40463,1.40463,1.40463,1.40463,1.40463,1.40463,1.40463,1.40463,1.40463,1.40463,1.40463,1.40463,1.40463,1.40463
214.429,1.40355,1.40355,1.40355,1.40355,1.40355,1.40355,1.40355,1.40355,1.40355,1.40355,1.40355,1.40355,1.40355,1.40355,1.40355,1.40355
216.433,1.40383,1.40383,1.40383,1.40383,1.40383,1.40383,1.40383,1.40383,1.40383,1.40383,1.40383,1.40383,1.40383,1.40383,1.40383,1.40383
218.437,1.40417,1.40417,1.40417,1.40417,1.40417,1.40417,1.40417,1.40417,1.40417,1.40417,1.40417,1.40417,1.40417,1.40417,1.40417,1.40417
220.441,1.40418,1.40418,1.40418,1.40418,1.40418,1.40418,1.40418,1.40418,1.40418,1.40418,1.40418,1.40418,1.40418,1.40418,1.40418,1.40418
222.445,1.40381,1.40381,1.40381,1.40381,1.40381,1.40381,1.40381,1.40381,1.40381,1.40381,1.40381,1.40381,1.40381,1.40381,1.40381,1.40381
224.449,1.40315,1.40315,1.40315,1.40315,1.40315,1.40315,1.40315,1.40315,1.40315,1.40315,1.40315,1.40315,1.40315,1.40315,1.40315,1.40315
226.453,1.40211,1.40211,1.40211,1.40211,1.40211,1.40211,1.40211,1.40211,1.40211,1.40211,1.40211,1.40211,1.40211,1.40211,1.40211,1.40211
228.457,1.40222,1.40222,1.40222,1.40222,1.40222,1.40222,1.40222,1.40222,1.40222,1.40222,1.40222,1.40222,1.40222,1.40222,1.40222,1.40222
230.461,1.40273,1.40273,1.40273,1.40273,1.40273,1.40273,1.40273,1.40273,1.40273,1.40273,1.40273,1.40273,1.40273,1.40273,1.40273,1.40273
232.465,1.40477,1.40477,1.40477,1.40477,1.40477,1.40477,1.40477,1.40477,1.40477,1.40477,1.40477,1.40477,1.40477,1.40477,1.40477,1.40477
234.469,1.40712,1.40712,1.40712,1.40712,1.40712,1.40712,1.40712,1.40712,1.40712,1.40712,1.40712,1.40712,1.40712,1.40712,1.40712,1.40712
236.473,1.40942,1.40942,1.40942,1.40942,1.40942,1.40942,1.40942,1.40942,1.40942,1.40942,1.40942,1.40942,1.40942,1.40942,1.40942,1.40942
238.477,1.41114,1.41114,1.41114,1.41114,1.41114,1.41114,1.41114,1.41114,1.41114,1.41114,1.41114,1.41114,1.41114,1.41114,1.41114,1.41114
240.481,1.41128,1.41128,1.41128,1.41128,1.41128,1.41128,1.41128,1.41128,1.41128,1.41128,1.41128,1.41128,1.41128,1.41128,1.41128,1.41128
242.485,1.41192,1.41192,1.41192,1.41192,1.41192,1.41192,1.41192,1.41192,1.41192,1.41192,1.41192,1.41192,1.41192,1.41192,1.41192,1.41192
244.489,1.41225,1.41225,1.41225,1.41225,1.41225,1.41225,1.41225,1.41225,1.41225,1.41225,1.41225,1.41225,1.41225,1.41225,1.41225,1.41225
246.493,1.41211,1.41211,1.41211,1.41211,1.41211,1.41211,1.41211,1.41211,1.41211,1.41211,1.41211,1.41211,1.41211,1.41211,1.41211,1.41211
248.497,1.41166,1.41166,1.41166,1.41166,1.41166,1.41166,1.41166,1.41166,1.41166,1.41166,1.41166,1.41166,1.41166,1.41166,1.41166,1.41166
250.501,1.41088,1.41088,1.41088,1.41088,1.41088,1.41088,1.41088,1.41088,1.41088,1.41088,1.41088,1.41088,1.41088,1.41088,1.41088,1.41088
252.505,1.41072,1.41072,1.41072,1.41072,1.41072,1.41072,1.41072,1.41072,1.41072,1.41072,1.41072,1.41072,1.41072,1.41072,1.41072,1.41072
254.509,1.41069,1.41069,1.41069,1.41069,1.41069,1.41069,1.41069,1.41069,1.41069,1.41069,1.41069,1.41069,1.41069,1.41069,1.41069,1.41069
256.513,1.41049,1.41049,1.41049,1.41049,1.41049,1.41049,1.41049,1.41049,1.41049,1.41049,1.41049,1.41049,1.41049,1.41049,1.41049,1.41049
258.517,1.41029,1.41029,1.41029,1.41029,1.41029,1.41029,1.41029,1.41029,1.41029,1.41029,1.41029,1.41029,1.41029,1.41029,1.41029,1.41029
260.521,1.41065,1.41065,1.41065,1.41065,1.41065,1.41065,1.41065,1.41065,1.41065,1.41065,1.41065,1.41065,1.41065,1.41065,1.41065,1.41065
262.525,1.41073,1.41073,1.41073,1.41073,1.41073,1.41073,1.41073,1.41073,1.41073,1.41073,1.41073,1.41073,1.41073,1.41073,1.41073,1.41073
264.529,1.41127,1.41127,1.41127,1.41127,1.41127,1.41127,1.41127,1.41127,1.41127,1.41127,1.41127,1.41127,1.41127,1.41127,1.41127,1.41127
266.533,1.41163,1.41163,1.41163,1.41163,1.41163,1.41163,1.41163,1.41163,1.41163,1.41163,1.41163,1.41163,1.41163,1.41163,1.41163,1.41163
268.537,1.41237,1.41237,1.41237,1.41237,1.41237,1.41237,1.41237,1.41237,1.41237,1.41237,1.41237,1.41237,1.41237,1.41237,1.41237,1.41237
270.541,1.41284,1.41284,1.41284,1.41284,1.41284,1.41284,1.41284,1.41284,1.41284,1.41284,1.41284,1.41284,1.41284,1.41284,1.41284,1.41284
272.545,1.41342,1.41342,1.41342,1.41342,1.41342,1.41342,1.41342,1.41342,1.41342,1.41342,1.41342,1.41342,1.41342,1.41342,1.41342,1.41342
274.549,1.41327,1.41327,1.41327,1.41327,1.41327,1.41327,1.41327,1.41327,1.41327,1.41327,1.41327,1.41327,1.41327,1.41327,1.41327,1.41327
276.553,1.41343,1.41343,1.41343,1.41343,1.41343,1.41343,1.41343,1.41343,1.41343,1.41343,1.41343,1.41343,1.41343,1.41343,1.41343,1.41343
278.557,1.41313,1.41313,1.41313,1.41313,1.41313,1.41313,1.41313,1.41313,1.41313,1.41313,1.41313,1.41313,1.41313,1.41313,1.41313,1.41313
280.561,1.41307,1.41307,1.41307,1.41307,1.41307,1.41307,1.41307,1.41307,1.41307,1.41307,1.41307,1.41307,1.41307,1.41307,1.41307,1.41307
282.565,1.41271,1.41271,1.41271,1.41271,1.41271,1.41271,1.41271,1.41271,1.41271,1.41271,1.41271,1.41271,1.41271,1.41271,1.41271,1.41271
284.569,1.4126,1.4126,1.4126,1.4126,1.4126,1.4126,1.4126,1.4126,1.4126,1.4126,1.4126,1.4126,1.4126,1.4126,1.4126,1.4126
286.573,1.41245,1.41245,1.41245,1.41245,1.41245,1.41245,1.41245,1.41245,1.41245,1.41245,1.41245,1.41245,1.41245,1.41245,1.41245,1.41245
288.577,1.41147,1.41147,1.41147,1.41147,1.41147,1.41147,1.41147,1.41147,1.41147,1.41147,1.41147,1.41147,1.41147,1.41147,1.41147,1.41147
290.581,1.41099,1.41099,1.41099,1.41099,1.41099,1.41099,1.41099,1.41099,1.41099,1.41099,1.41099,1.41099,1.41099,1.41099,1.41099,1.41099
292.585,1.4107,1.4107,1.4107,1.4107,1.4107,1.4107,1.4107,1.4107,1.4107,1.4107,1.4107,1.4107,1.4107,1.4107,1.4107,1.4107
294.589,1.41056,1.41056,1.41056,1.41056,1.41056,1.41056,1.41056,1.41056,1.41056,1.41056,1.41056,1.41056,1.41056,1.41056,1.41056,1.41056
