# Frequency[MHz],ampNF Ch0 [lin],ampNF Ch1 [lin],ampNF Ch2 [lin],ampNF Ch3 [lin],ampNF Ch4 [lin],ampNF Ch5 [lin],ampNF Ch6 [lin],ampNF Ch7 [lin],ampNF Ch8 [lin],ampNF Ch9 [lin],ampNF Ch10 [lin],ampNF Ch11 [lin],ampNF Ch12 [lin],ampNF Ch13 [lin],ampNF Ch14 [lin],ampNF Ch15 [lin]
166.333,1.23298,1.23298,1.23298,1.23298,1.23298,1.23298,1.23298,1.23298,1.23298,1.23298,1.23298,1.23298,1.23298,1.23298,1.23298,1.23298
168.337,1.22879,1.22879,1.22879,1.22879,1.22879,1.22879,1.22879,1.22879,1.22879,1.22879,1.22879,1.22879,1.22879,1.22879,1.22879,1.22879
170.341,1.22477,1.22477,1.22477,1.22477,1.22477,1.22477,1.22477,1.22477,1.22477,1.22477,1.22477,1.22477,1.22477,1.22477,1.22477,1.22477
172.345,1.22091,1.22091,1.22091,1.22091,1.22091,1.22091,1.22091,1.22091,1.22091,1.22091,1.22091,1.22091,1.22091,1.22091,1.22091,1.22091
174.349,1.21722,1.21722,1.21722,1.21722,1.21722,1.21722,1.21722,1.21722,1.21722,1.21722,1.21722,1.21722,1.21722,1.21722,1.21722,1.21722
176.353,1.2137,1.2137,1.2137,1.2137,1.2137,1.2137,1.2137,1.2137,1.2137,1.2137,1.2137,1.2137,1.2137,1.2137,1.2137,1.2137
178.357,1.21034,1.21034,1.21034,1.21034,1.21034,1.21034,1.21034,1.21034,1.21034,1.21034,1.21034,1.21034,1.21034,1.21034,1.21034,1.21034
180.361,1.20715,1.20715,1.20715,1.20715,1.20715,1.20715,1.20715,1.20715,1.20715,1.20715,1.20715,1.20715,1.20715,1.20715,1.20715,1.20715
182.365,1.20413,1.20413,1.20413,1.20413,1.20413,1.20413,1.20413,1.20413,1.20413,1.20413,1.20413,1.20413,1.20413,1.20413,1.20413,1.20413
184.369,1.20128,1.20128,1.20128,1.20128,1.20128,1.20128,1.20128,1.20128,1.20128,1.20128,1.20128,1.20128,1.20128,1.20128,1.20128,1.20128
186.373,1.1986,1.1986,1.1986,1.1986,1.1986,1.1986,1.1986,1.1986,1.1986,1.1986,1.1986,1.1986,1.1986,1.1986,1.1986,1.1986
188.377,1.19609,1.19609,1.19609,1.19609,1.19609,1.19609,1.19609,1.19609,1.19609,1.19609,1.19609,1.19609,1.19609,1.19609,1.19609,1.19609
190.381,1.19375,1.19375,1.19375,1.19375,1.19375,1.19375,1.19375,1.19375,1.19375,1.19375,1.19375,1.19375,1.19375,1.19375,1.19375,1.19375
192.385,1.19158,1.19158,1.19158,1.19158,1.19158,1.19158,1.19158,1.19158,1.19158,1.19158,1.19158,1.19158,1.19158,1.19158,1.19158,1.19158
194.389,1.18959,1.18959,1.18959,1.18959,1.18959,1.18959,1.18959,1.18959,1.18959,1.18959,1.18959,1.18959,1.18959,1.18959,1.18959,1.18959
196.393,1.18777,1.18777,1.18777,1.18777,1.18777,1.18777,1.18777,1.18777,1.18777,1.18777,1.18777,1.18777,1.18777,1.18777,1.18777,1.18777
198.397,1.18613,1.18613,1.18613,1.18613,1.18613,1.18613,1.18613,1.18613,1.18613,1.18613,1.18613,1.18613,1.18613,1.18613,1.18613,1.18613
200.401,1.18467,1.18467,1.18467,1.18467,1.18467,1.18467,1.18467,1.18467,1.18467,1.18467,1.18467,1.18467,1.18467,1.18467,1.18467,1.18467
202.405,1.18318,1.18318,1.18318,1.18318,1.18318,1.18318,1.18318,1.18318,1.18318,1.18318,1.18318,1.18318,1.18318,1.18318,1.18318,1.18318
204.409,1.1816,1.1816,1.1816,1.1816,1.1816,1.1816,1.1816,1.1816,1.1816,1.1816,1.1816,1.1816,1.1816,1.1816,1.1816,1.1816
206.413,1.17994,1.17994,1.17994,1.17994,1.17994,1.17994,1.17994,1.17994,1.17994,1.17994,1.17994,1.17994,1.17994,1.17994,1.17994,1.17994
208.417,1.17821,1.17821,1.17821,1.17821,1.17821,1.17821,1.17821,1.17821,1.17821,1.17821,1.17821,1.17821,1.17821,1.17821,1.17821,1.17821
210.421,1.17643,1.17643,1.17643,1.17643,1.17643,1.17643,1.17643,1.17643,1.17643,1.17643,1.17643,1.17643,1.17643,1.17643,1.17643,1.17643
212.425,1.17462,1.17462,1.17462,1.17462,1.17462,1.17462,1.17462,1.17462,1.17462,1.17462,1.17462,1.17462,1.17462,1.17462,1.17462,1.17462
214.429,1.17279,1.17279,1.17279,1.17279,1.17279,1.17279,1.17279,1.17279,1.17279,1.17279,1.17279,1.17279,1.17279,1.17279,1.17279,1.17279
216.433,1.17094,1.17094,1.17094,1.17094,1.17094,1.17094,1.17094,1.17094,1.17094,1.17094,1.17094,1.17094,1.17094,1.17094,1.17094,1.17094
218.437,1.16911,1.16911,1.16911,1.16911,1.16911,1.16911,1.16911,1.16911,1.16911,1.16911,1.16911,1.16911,1.16911,1.16911,1.16911,1.16911
220.441,1.1673,1.1673,1.1673,1.1673,1.1673,1.1673,1.1673,1.1673,1.1673,1.1673,1.1673,1.1673,1.1673,1.1673,1.1673,1.1673
222.445,1.16552,1.16552,1.16552,1.16552,1.16552,1.16552,1.16552,1.16552,1.16552,1.16552,1.16552,1.16552,1.16552,1.16552,1.16552,1.16552
224.449,1.1638,1.1638,1.1638,1.1638,1.1638,1.1638,1.1638,1.1638,1.1638,1.1638,1.1638,1.1638,1.1638,1.1638,1.1638,1.1638
